00:0d:f0:a2:9f:11/2016-11-26 16:03:42.734927/-256
24:c6:96:88:f0:b7/2016-11-26 16:03:37.829525/-58
84:10:0d:ba:4f:83/2016-11-26 16:02:29.181765/-72
9c:80:df:58:6e:28/2016-11-26 16:03:30.479022/-80
5c:51:88:1d:76:f3/2016-11-26 16:05:04.294470/-74
f8:e0:79:8e:bc:af/2016-11-26 16:03:18.491308/-80
b0:9f:ba:31:69:11/2016-11-26 16:05:27.691431/-74
6c:2f:2c:13:1e:82/2016-11-26 16:05:12.673207/-72
f8:f1:b6:69:4d:ca/2016-11-26 16:04:01.295240/-72
34:bb:26:b5:04:de/2016-11-26 16:03:06.458685/-76
00:0d:f0:a2:9f:11/2016-11-26 16:07:41.329484/-256
5c:51:88:1d:76:f3/2016-11-26 16:05:35.879105/-76
24:c6:96:88:f0:b7/2016-11-26 16:08:36.398322/-54
84:10:0d:ba:4f:83/2016-11-26 16:06:53.147559/-44
b8:5a:73:9f:88:9c/2016-11-26 16:08:18.582617/-72
f8:e0:79:8e:bc:af/2016-11-26 16:08:54.456459/-80
b0:9f:ba:31:69:11/2016-11-26 16:07:43.412346/-80
6c:2f:2c:13:1e:82/2016-11-26 16:08:24.503873/-80
f8:f1:b6:69:4d:ca/2016-11-26 16:07:01.761120/-76
00:0d:f0:a2:9f:11/2016-11-26 16:11:42.239389/-256
24:c6:96:88:f0:b7/2016-11-26 16:11:37.788180/-50
5c:51:88:1d:76:f3/2016-11-26 16:12:48.798027/-76
f8:e0:79:8e:bc:af/2016-11-26 16:12:26.429014/-80
6c:2f:2c:13:1e:82/2016-11-26 16:12:06.827705/-78
f8:f1:b6:69:4d:ca/2016-11-26 16:10:01.916302/-74
34:bb:26:b5:04:de/2016-11-26 16:11:42.821162/-78
00:0d:f0:a2:9f:11/2016-11-26 16:19:42.737669/-256
24:c6:96:88:f0:b7/2016-11-26 16:20:38.167831/-58
5c:51:88:24:b1:c5/2016-11-26 16:17:51.478588/-74
00:0d:f0:a2:9f:11/2016-11-26 16:23:42.741696/-256
24:c6:96:88:f0:b7/2016-11-26 16:24:39.154995/-58
a4:70:d6:42:04:b1/2016-11-26 16:22:12.552782/-80
5c:51:88:24:b1:c5/2016-11-26 16:21:53.911891/-80
b8:5a:73:9f:88:9c/2016-11-26 16:27:22.765102/-68
00:0d:f0:a2:9f:11/2016-11-26 16:27:42.741681/-256
24:c6:96:88:f0:b7/2016-11-26 16:28:39.613177/-66
5c:51:88:1d:76:f3/2016-11-26 16:27:47.080194/-78
94:01:c2:0f:91:eb/2016-11-26 16:27:38.811797/-88
5c:51:88:24:b1:c5/2016-11-26 16:29:22.394048/-80
b8:5a:73:9f:88:9c/2016-11-26 16:29:25.396534/-78
24:c6:96:88:f0:b7/2016-11-26 16:31:39.563412/-56
5c:51:88:1d:76:f3/2016-11-26 16:32:03.556672/-74
00:0d:f0:a2:9f:11/2016-11-26 16:31:42.228088/-256
54:2a:a2:28:c5:6f/2016-11-26 16:35:12.966776/-72
00:0d:f0:a2:9f:11/2016-11-26 16:35:38.444141/-256
5c:51:88:1d:76:f3/2016-11-26 16:32:03.614808/-74
24:c6:96:88:f0:b7/2016-11-26 16:34:40.345080/-58
00:0d:f0:a2:9f:11/2016-11-26 16:39:38.601952/-256
24:c6:96:88:f0:b7/2016-11-26 16:38:49.586414/-62
b0:9f:ba:31:69:11/2016-11-26 16:38:21.370395/-74
f8:f1:b6:69:4d:ca/2016-11-26 16:37:11.748972/-72
18:89:5b:01:2a:22/2016-11-26 16:42:05.072869/-72
00:0d:f0:a2:9f:11/2016-11-26 16:43:39.040866/-256
24:c6:96:88:f0:b7/2016-11-26 16:42:42.063043/-58
a4:70:d6:42:04:b1/2016-11-26 16:40:31.241995/-74
00:0d:f0:a2:9f:11/2016-11-26 16:47:39.040870/-256
24:c6:96:88:f0:b7/2016-11-26 16:45:58.468371/-56
a4:70:d6:42:04:b1/2016-11-26 16:45:45.390938/-78
5c:51:88:1d:76:f3/2016-11-26 16:45:41.884662/-74
b0:9f:ba:31:69:11/2016-11-26 16:45:39.236434/-80
00:0d:f0:a2:9f:11/2016-11-26 16:49:42.824853/-256
24:c6:96:88:f0:b7/2016-11-26 16:51:02.555867/-64
5c:51:88:1d:76:f3/2016-11-26 16:50:35.973012/-72
b8:5a:73:9f:88:9c/2016-11-26 17:05:10.245766/-62
00:0d:f0:a2:9f:11/2016-11-26 17:05:43.325716/-256
24:c6:96:88:f0:b7/2016-11-26 17:04:14.172350/-58
a4:70:d6:42:04:b1/2016-11-26 17:05:39.847414/-76
5c:51:88:24:b1:c5/2016-11-26 17:07:31.866840/-80
00:0d:f0:a2:9f:11/2016-11-26 17:11:39.541709/-256
24:c6:96:88:f0:b7/2016-11-26 17:10:21.552999/-58
24:da:9b:20:68:cc/2016-11-26 17:10:28.646951/-68
00:0d:f0:a2:9f:11/2016-11-26 17:15:39.541697/-256
24:c6:96:88:f0:b7/2016-11-26 17:12:23.084929/-60
b0:9f:ba:31:69:11/2016-11-26 17:14:02.935185/-76
f8:f1:b6:69:4d:ca/2016-11-26 17:13:24.268071/-74
00:0d:f0:a2:9f:11/2016-11-26 17:17:43.325727/-256
24:c6:96:88:f0:b7/2016-11-26 17:17:45.413572/-56
5c:51:88:1d:76:f3/2016-11-26 17:18:35.585976/-72
b0:9f:ba:31:69:11/2016-11-26 17:18:50.691458/-80
6c:2f:2c:13:1e:82/2016-11-26 17:17:13.912314/-80
f8:f1:b6:69:4d:ca/2016-11-26 17:19:26.163762/-74
f8:f1:b6:69:4d:ca/2016-11-26 17:19:26.228991/-72
24:c6:96:88:f0:b7/2016-11-26 17:21:32.197754/-60
5c:51:88:1d:76:f3/2016-11-26 17:22:59.904460/-76
00:0d:f0:a2:9f:11/2016-11-26 17:21:43.325728/-256
c8:85:50:bf:c0:e8/2016-11-26 17:26:08.619247/-80
00:0d:f0:a2:9f:11/2016-11-26 17:25:43.325765/-256
5c:51:88:1d:76:f3/2016-11-26 17:24:39.605619/-80
24:c6:96:88:f0:b7/2016-11-26 17:26:37.055373/-68
f8:f1:b6:69:4d:ca/2016-11-26 17:25:28.188944/-72
c8:85:50:bf:c0:e8/2016-11-26 17:29:55.797271/-82
00:0d:f0:a2:9f:11/2016-11-26 17:29:43.173794/-256
24:c6:96:88:f0:b7/2016-11-26 17:30:25.531224/-54
c8:85:50:bf:c0:e8/2016-11-26 17:32:57.025174/-80
00:0d:f0:a2:9f:11/2016-11-26 17:33:43.173777/-256
24:c6:96:88:f0:b7/2016-11-26 17:33:45.553951/-60
78:f8:82:e7:69:28/2016-11-26 17:33:05.633436/-70
00:0d:f0:a2:9f:11/2016-11-26 17:35:43.177780/-256
24:c6:96:88:f0:b7/2016-11-26 17:37:25.679363/-60
48:59:29:fd:18:32/2016-11-26 17:35:19.674774/-80
c8:85:50:bf:c0:e8/2016-11-26 17:33:49.657387/-74
6c:2f:2c:13:1e:82/2016-11-26 17:34:26.947169/-80
